GEOID,heatweek_avg_qol_calls,normalweek_avg_qol_calls,TOTAL_POP,heatweek_calls_per_1k,normalweek_calls_per_1k
36047028300,1.8,2.0,4115.0,0.4374240583232078,0.4860267314702309
36047028400,13.8,11.428571428571429,3328.0,4.146634615384615,3.434065934065934
36047028501,3.4,2.5,459.0,7.4074074074074066,5.446623093681917
36047028502,0.2,0.8571428571428571,3451.0,0.05795421616922631,0.24837521215382702
36047028600,12.6,13.142857142857142,5581.0,2.2576599175774947,2.354928712212353
36047028700,2.8,2.4285714285714284,3151.0,0.8886067914947635,0.7707303803781113
36047028800,9.6,11.285714285714286,3150.0,3.047619047619048,3.5827664399092973
36047028900,3.6,4.0,3678.0,0.9787928221859706,1.087547580206634
36047029000,3.4,2.7142857142857144,3232.0,1.051980198019802,0.8398161244695899
36047029100,10.6,5.428571428571429,3599.0,2.945262572936927,1.5083554955741676
36047029200,6.8,9.714285714285714,2717.0,2.50276039749724,3.5753719964246278
36047029300,1.4,2.857142857142857,3572.0,0.3919372900335946,0.7998720204767237
36047029400,3.0,5.285714285714286,2587.0,1.1596443757247776,2.043182947705561
36047029500,3.2,4.285714285714286,4198.0,0.7622677465459743,1.020894303409787
36047029600,5.2,5.0,6101.0,0.8523192919193575,0.8195377806916898
36047029700,4.2,5.0,4725.0,0.888888888888889,1.0582010582010584
36047029800,9.0,10.142857142857142,4183.0,2.151565861821659,2.424780574433933
36047029900,1.4,1.1428571428571428,2578.0,0.543056633048875,0.4433115371827551
36047030000,5.6,7.571428571428571,4283.0,1.3074947466728928,1.7677862646342684
36047030100,2.0,2.142857142857143,3172.0,0.6305170239596469,0.6755539542424789
36047030200,10.8,16.428571428571427,4052.0,2.665350444225074,4.054435199548723
36047030300,3.4,3.4285714285714284,4931.0,0.6895153112958832,0.6953095576092939
36047030400,16.0,15.0,4150.0,3.855421686746988,3.6144578313253013
36047030500,21.6,23.0,7457.0,2.8966072146975996,3.084350274909481
36047030600,3.4,2.2857142857142856,1950.0,1.7435897435897436,1.1721611721611722
36047030700,5.8,4.428571428571429,6297.0,0.9210735270763856,0.7032827423489644
36047030800,3.2,4.285714285714286,1905.0,1.6797900262467191,2.2497187851518556
36047030900,2.4,2.4285714285714284,2671.0,0.8985398727068513,0.9092367759533615
36047031100,3.4,3.0,2825.0,1.2035398230088494,1.0619469026548674
36047031300,4.2,7.0,5054.0,0.8310249307479225,1.3850415512465375
36047031401,7.0,9.0,5223.0,1.3402259237985832,1.7231476163124642
36047031500,2.8,5.0,5316.0,0.526711813393529,0.9405568096313017
36047031701,2.2,3.7142857142857144,4558.0,0.48266783677051345,0.8148937503917759
