NAME,total_pop,median_income,poverty_all,poverty_count,no_vehicle_hh,edu_bachelors,edu_masters,edu_professional,edu_doctorate,edu_total,owner_hh,renter_hh,hh_total,limited_english,limited_english_total,state,county,tract,GEOID,poverty_rate,poverty_rate_c,edu_bachelors_plus,pct_bachelors_plus,pct_renters,pct_limited_english
Census Tract 129.01; Bronx County; New York,5469,40575,5281,1891,0,264,0,3,0,3178,84,1655,1739,69,4910,36,005,012901,36005012901,0.35807612194660104,0.19271711094603552,267,0.08401510383889238,0.9516963772282921,0.01405295315682281
Census Tract 130; Bronx County; New York,1262,59083,1262,343,25,135,62,0,31,805,228,221,449,5,1212,36,005,013000,36005013000,0.27179080824088747,0.10643179724032195,228,0.28322981366459626,0.4922048997772829,0.004125412541254125
Census Tract 131; Bronx County; New York,4822,17410,4822,2113,156,363,174,0,0,3420,294,1813,2107,258,4678,36,005,013100,36005013100,0.4381999170468685,0.27284090604630296,537,0.1570175438596491,0.8604651162790697,0.055151774262505344
Census Tract 132; Bronx County; New York,7249,104651,7249,720,230,848,553,0,68,5049,1614,978,2592,14,6791,36,005,013200,36005013200,0.09932404469582011,-0.06603496630474541,1469,0.2909487027134086,0.3773148148148148,0.002061552054189368
Census Tract 133; Bronx County; New York,6038,34055,6011,1272,101,432,0,71,0,3823,189,2083,2272,571,5776,36,005,013300,36005013300,0.21161204458492763,0.04625303358436211,503,0.13157206382422182,0.9168133802816901,0.0988573407202216
Census Tract 135; Bronx County; New York,3125,27602,3125,1357,22,83,15,0,0,1954,97,1382,1479,58,2873,36,005,013500,36005013500,0.43424,0.26888098899943447,98,0.05015353121801433,0.9344151453684922,0.02018795683954055
Census Tract 138; Bronx County; New York,2969,84042,2969,376,136,357,190,8,42,2126,789,416,1205,0,2724,36,005,013800,36005013800,0.12664196699225327,-0.038717044008312246,597,0.2808090310442145,0.34522821576763485,0.0
Census Tract 141; Bronx County; New York,7133,35506,7133,1950,55,734,144,0,24,4426,185,2651,2836,187,6776,36,005,014100,36005014100,0.2733772606196551,0.1080182496190896,902,0.20379575237234523,0.9347672778561354,0.027597402597402596
Census Tract 143; Bronx County; New York,1715,16678,1690,703,0,151,4,0,0,1029,0,696,696,5,1557,36,005,014300,36005014300,0.41597633136094675,0.2506173203603812,155,0.15063168124392615,1.0,0.0032113037893384713
Census Tract 144; Bronx County; New York,6253,29213,6158,1847,23,267,274,25,0,4045,338,2073,2411,114,5452,36,005,014400,36005014400,0.29993504384540437,0.13457603284483885,566,0.13992583436341163,0.8598092077975944,0.02090975788701394
Census Tract 145; Bronx County; New York,6425,27352,6208,3080,36,145,73,0,0,4022,36,2382,2418,133,6117,36,005,014500,36005014500,0.4961340206185567,0.3307750096179912,218,0.05420188960716062,0.9851116625310173,0.021742684322380253
